Sl. No.,State/UT,PC,Male,Female,Others,Total
1,Andhra Pradesh,Amalapuram (SC),84.86,82.85,52.38,83.85
2,Andhra Pradesh,Anakapalle,81.82,82.23,48.48,82.03
3,Andhra Pradesh,Ananthapur,81.36,79.7,45.73,80.51
4,Andhra Pradesh,Araku (ST),74.41,72.99,43.24,73.68
5,Andhra Pradesh,Bapatla (SC),85.84,85.15,50.59,85.48
6,Andhra Pradesh,Chittoor (SC),86.15,85.42,46.97,85.77
7,Andhra Pradesh,Eluru,84.71,82.7,41.27,83.68
8,Andhra Pradesh,Guntur,79.27,78.39,38.99,78.81
9,Andhra Pradesh,Hindupur,85.46,83.95,47.37,84.7
10,Andhra Pradesh,Kadapa,79.21,79.93,40.28,79.57
11,Andhra Pradesh,Kakinada,81.12,79.52,54.84,80.3
12,Andhra Pradesh,Kurnoolu,78.14,75.49,39.75,76.8
13,Andhra Pradesh,Machilipatnam,84.72,83.43,47.37,84.05
14,Andhra Pradesh,Nandyal,81.48,79.8,53.01,80.61
15,Andhra Pradesh,Narsapuram,83.5,81.73,60.26,82.59
16,Andhra Pradesh,Narsaraopet,85.95,85.37,46.07,85.65
17,Andhra Pradesh,Nellore,79.68,78.46,35.33,79.05
18,Andhra Pradesh,Ongole,87.24,86.88,61.68,87.06
19,Andhra Pradesh,Rajahmundry,81.72,80.18,59.79,80.93
20,Andhra Pradesh,Rajampet,78.94,79.24,39.39,79.09
21,Andhra Pradesh,Srikakulam,72.32,76.51,12.07,74.43
22,Andhra Pradesh,Thirupathi(SC),79.88,78.38,25.68,79.1
23,Andhra Pradesh,Vijayawada,79.8,78.96,64.9,79.37
24,Andhra Pradesh,Visakhapatnam,70.25,71.94,35.65,71.11
25,Andhra Pradesh,Vizianagaram,81.03,81.08,26.67,81.05
26,Bihar,Begusarai,54.34,63.53,15.25,58.7
27,Bihar,Darbhanga,52.41,62.87,0,57.37
28,Bihar,Munger,55.22,55.93,13.46,55.55
29,Bihar,Samastipur,55.12,65.65,17.86,60.11
30,Bihar,Ujiarpur,54.72,65.01,15,59.59
31,Jammu and Kashmir,SRINAGAR,43.73,33.21,37.5,38.49
32,Jharkhand,Khunti,69.35,70.5,75,69.93
33,Jharkhand,Lohardaga,64.22,68.63,25,66.45
34,Jharkhand,Palamau,58.27,64.51,100,61.27
35,Jharkhand,Singhbhum,68.69,69.93,21.21,69.32
36,Madhya Pradesh,DEWAS,79.79,70.95,73.91,75.48
37,Madhya Pradesh,DHAR,75.63,69.87,46.67,72.76
38,Madhya Pradesh,INDORE,65.44,57.83,69.07,61.67
39,Madhya Pradesh,KHANDWA,73.76,69.21,35.29,71.52
40,Madhya Pradesh,KHARGONE,78.09,73.96,79.31,76.03
41,Madhya Pradesh,MANDSOUR,78.24,72.24,71.43,75.27
42,Madhya Pradesh,RATLAM,74.99,70.92,37.84,72.94
43,Madhya Pradesh,UJJAIN,77.91,69.64,53.85,73.82
44,Maharashtra,Ahmednagar,69.83,63.11,42.86,66.61
45,Maharashtra,Aurangabad,65.79,60,32.03,63.03
